Title,Artist,Album,Genre,Length,My Playlist1
Heart over Mind,Alan Walker,Walkerworld,Hip-Hops,3:09,Hero
Hero,Alan Walker,Walkerworld,Hip-Hops,2:55,Style
Spectre 2.0,Alan Walker,Walkerworld,Hip-Hops,2:56,Darkride
"Better Off (Alone, Pt. III)",Alan Walker,Walkerworld,Hip-Hops,2:31,
Endless Summer,Alan Walker,Walkerworld,Hip-Hops,3:07,
Born to Ride,Alan Walker,Walkerworld,Hip-Hops,2:43,
Yesterday,Alan Walker,Walkerworld,Hip-Hops,2:41,
Land Of The Heroes,Alan Walker,Walkerworld,Hip-Hops,2:56,
Darkride,Alan Walker,Walkerworld,Hip-Hops,1:52,
Welcome To New York,Taylor Swift,1989,Pops,3:32,
Blank Space,Taylor Swift,1989,Pops,3:51,
Style,Taylor Swift,1989,Pops,3:51,
Out Of The Woods,Taylor Swift,1989,Pops,3:55,
Shake It Off,Taylor Swift,1989,Pops,3:39,
I Wish You Would,Taylor Swift,1989,Pops,3:27,
Bad Blood,Taylor Swift,1989,Pops,3:31,
Wildest Dreams,Taylor Swift,1989,Pops,3:40,
This Love,Taylor Swift,1989,Pops,4:10,
I Know Places,Taylor Swift,1989,Pops,3:15,
Clean,Taylor Swift,1989,Pops,4:31,
Wonderland,Taylor Swift,1989,Pops,4:05,
New Romantics,Taylor Swift,1989,Pops,4:27,
